optimized,lanes,mode,before_ns,after_ns,change_pct
false,1,low,7.070,6.719,-4.96
false,1,high,11.596,10.632,-8.31
false,1,nested_rate,17.730,16.059,-9.42
false,1,overlap,25.230,23.976,-4.97
false,4,low,22.168,23.538,6.18
false,4,high,34.025,33.486,-1.58
false,4,nested_rate,34.689,34.648,-0.12
false,4,overlap,36.085,38.301,6.14
false,8,low,29.984,28.906,-3.59
false,8,high,38.008,34.882,-8.23
false,8,nested_rate,39.327,36.237,-7.86
false,8,overlap,38.542,38.864,0.84
false,16,low,40.610,38.103,-6.17
false,16,high,58.015,46.516,-19.82
false,16,nested_rate,60.440,49.671,-17.82
false,16,overlap,60.646,59.379,-2.09
false,64,low,127.525,112.951,-11.43
false,64,high,179.262,136.930,-23.61
false,64,nested_rate,185.553,144.169,-22.30
false,64,overlap,185.872,185.014,-0.46
true,1,low,6.828,6.662,-2.44
true,1,high,10.648,9.816,-7.81
true,1,nested_rate,17.118,15.103,-11.77
true,1,overlap,23.944,21.807,-8.93
true,4,low,21.229,23.106,8.85
true,4,high,31.647,32.397,2.37
true,4,nested_rate,34.506,33.714,-2.30
true,4,overlap,34.503,35.514,2.93
true,8,low,29.190,28.941,-0.85
true,8,high,37.157,34.616,-6.84
true,8,nested_rate,49.179,40.821,-17.00
true,8,overlap,42.081,44.791,6.44
true,16,low,37.719,36.389,-3.53
true,16,high,65.389,47.696,-27.06
true,16,nested_rate,99.862,61.413,-38.50
true,16,overlap,64.360,66.736,3.69
true,64,low,160.975,138.876,-13.73
true,64,high,300.522,167.394,-44.30
true,64,nested_rate,345.575,193.149,-44.11
true,64,overlap,228.060,237.039,3.94
