optimized,lanes,mode,before_ns,after_ns,change_pct
false,1,low,14.465,14.009,-3.16
false,1,high,19.643,18.914,-3.72
false,1,nested_rate,27.179,26.863,-1.16
false,1,overlap,33.975,33.997,0.07
false,4,low,25.115,27.937,11.23
false,4,high,48.257,41.987,-12.99
false,4,nested_rate,50.887,45.497,-10.59
false,4,overlap,54.318,46.739,-13.95
false,8,low,37.872,38.344,1.25
false,8,high,69.448,59.723,-14.00
false,8,nested_rate,64.342,58.860,-8.52
false,8,overlap,75.679,78.063,3.15
false,16,low,50.822,50.711,-0.22
false,16,high,89.779,88.140,-1.83
false,16,nested_rate,106.111,97.366,-8.24
false,16,overlap,111.269,120.946,8.70
false,64,low,200.104,203.250,1.57
false,64,high,400.861,326.738,-18.49
false,64,nested_rate,397.789,323.189,-18.75
false,64,overlap,425.253,441.661,3.86
true,1,low,14.420,14.232,-1.31
true,1,high,25.734,24.368,-5.31
true,1,nested_rate,31.746,31.961,0.68
true,1,overlap,65.676,64.697,-1.49
true,4,low,27.656,29.372,6.21
true,4,high,51.820,48.160,-7.06
true,4,nested_rate,51.256,48.055,-6.25
true,4,overlap,55.805,54.285,-2.72
true,8,low,43.918,42.864,-2.40
true,8,high,72.743,60.554,-16.76
true,8,nested_rate,75.802,62.360,-17.73
true,8,overlap,77.216,79.720,3.24
true,16,low,62.006,59.992,-3.25
true,16,high,107.404,88.207,-17.87
true,16,nested_rate,118.347,101.005,-14.65
true,16,overlap,114.303,119.683,4.71
true,64,low,211.141,206.197,-2.34
true,64,high,394.873,322.311,-18.38
true,64,nested_rate,383.426,301.989,-21.24
true,64,overlap,416.583,434.878,4.39
