shape,hz,lanes,baseline_ns,candidate_ns,ratio,config_ns
Saw,1500.13,1,3.877,16.845,4.345,50.150
Saw,1500.13,8,2.909,16.761,5.763,50.150
Saw,3000.13,1,3.606,12.852,3.563,29.900
Saw,3000.13,8,3.475,11.833,3.405,29.900
Saw,6000.13,1,3.936,9.544,2.425,25.004
Saw,6000.13,8,4.582,9.067,1.979,25.004
Saw,11000.13,1,4.371,9.072,2.076,25.144
Saw,11000.13,8,6.078,8.730,1.436,25.144
Saw,16000.13,1,4.990,8.655,1.735,25.025
Saw,16000.13,8,8.408,7.979,0.949,25.025
Saw,21000.13,1,5.411,8.604,1.590,25.894
Saw,21000.13,8,9.011,8.142,0.904,25.894
Triangle,1500.13,1,3.986,16.896,4.238,34.563
Triangle,1500.13,8,5.295,16.864,3.185,34.563
Triangle,3000.13,1,4.457,12.735,2.858,75.496
Triangle,3000.13,8,6.773,12.272,1.812,75.496
Triangle,6000.13,1,5.574,9.344,1.676,42.619
Triangle,6000.13,8,9.063,8.919,0.984,42.619
Triangle,11000.13,1,7.170,9.124,1.273,23.555
Triangle,11000.13,8,12.307,9.153,0.744,23.555
Triangle,16000.13,1,7.901,8.842,1.119,24.726
Triangle,16000.13,8,14.826,8.369,0.564,24.726
Triangle,21000.13,1,8.458,8.847,1.046,25.083
Triangle,21000.13,8,15.054,7.962,0.529,25.083
Pulse(0.23),1500.13,1,6.433,24.867,3.865,284.867
Pulse(0.23),1500.13,8,7.192,24.125,3.355,284.867
Pulse(0.23),3000.13,1,7.263,15.183,2.091,149.683
Pulse(0.23),3000.13,8,8.537,15.008,1.758,149.683
Pulse(0.23),6000.13,1,8.082,11.752,1.454,74.287
Pulse(0.23),6000.13,8,10.547,10.978,1.041,74.287
Pulse(0.23),11000.13,1,9.655,10.976,1.137,50.400
Pulse(0.23),11000.13,8,13.346,9.141,0.685,50.400
Pulse(0.23),16000.13,1,10.852,9.316,0.858,58.778
Pulse(0.23),16000.13,8,17.789,8.780,0.494,58.778
Pulse(0.23),21000.13,1,11.822,9.127,0.772,65.849
Pulse(0.23),21000.13,8,17.861,8.572,0.480,65.849
