shape,hz,lanes,baseline_ns,candidate_ns,ratio,config_ns
Saw,1500.13,1,8.541,44.991,5.268,70.742
Saw,1500.13,8,6.685,32.870,4.917,70.742
Saw,3000.13,1,10.394,26.900,2.588,47.663
Saw,3000.13,8,10.155,19.127,1.883,47.663
Saw,6000.13,1,10.743,19.591,1.824,39.594
Saw,6000.13,8,11.263,14.664,1.302,39.594
Saw,11000.13,1,15.113,17.919,1.186,38.374
Saw,11000.13,8,19.254,18.347,0.953,38.374
Saw,16000.13,1,18.006,16.411,0.911,34.843
Saw,16000.13,8,25.432,14.634,0.575,34.843
Saw,21000.13,1,21.611,16.614,0.769,36.477
Saw,21000.13,8,26.563,12.309,0.463,36.477
Triangle,1500.13,1,11.724,44.982,3.837,65.169
Triangle,1500.13,8,8.241,35.055,4.253,65.169
Triangle,3000.13,1,13.658,27.687,2.027,45.951
Triangle,3000.13,8,10.685,20.207,1.891,45.951
Triangle,6000.13,1,18.365,20.168,1.098,39.307
Triangle,6000.13,8,15.362,14.859,0.967,39.307
Triangle,11000.13,1,27.100,19.082,0.704,35.456
Triangle,11000.13,8,24.354,14.521,0.596,35.456
Triangle,16000.13,1,34.644,16.905,0.488,34.808
Triangle,16000.13,8,26.044,16.291,0.626,34.808
Triangle,21000.13,1,43.312,16.851,0.389,34.741
Triangle,21000.13,8,25.893,16.403,0.633,34.741
Pulse(0.23),1500.13,1,9.756,90.570,9.283,302.583
Pulse(0.23),1500.13,8,18.547,54.975,2.964,302.583
Pulse(0.23),3000.13,1,11.742,46.408,3.952,166.815
Pulse(0.23),3000.13,8,18.743,33.621,1.794,166.815
Pulse(0.23),6000.13,1,16.810,29.304,1.743,89.088
Pulse(0.23),6000.13,8,26.944,24.074,0.893,89.088
Pulse(0.23),11000.13,1,25.778,24.174,0.938,73.162
Pulse(0.23),11000.13,8,39.667,23.234,0.586,73.162
Pulse(0.23),16000.13,1,31.880,21.250,0.667,56.100
Pulse(0.23),16000.13,8,49.837,20.132,0.404,56.100
Pulse(0.23),21000.13,1,38.730,23.085,0.596,59.986
Pulse(0.23),21000.13,8,50.567,20.246,0.400,59.986
