shape,hz,lanes,baseline_ns,candidate_ns,ratio,config_ns
Saw,1500.13,1,4.135,23.817,5.759,57.080
Saw,1500.13,8,2.908,16.881,5.804,57.080
Saw,3000.13,1,4.157,18.855,4.536,34.002
Saw,3000.13,8,3.471,12.326,3.551,34.002
Saw,6000.13,1,4.299,16.249,3.780,32.515
Saw,6000.13,8,4.344,9.430,2.171,32.515
Saw,11000.13,1,4.655,15.649,3.362,32.590
Saw,11000.13,8,6.124,9.012,1.471,32.590
Saw,16000.13,1,4.964,15.273,3.077,33.455
Saw,16000.13,8,8.263,8.651,1.047,33.455
Saw,21000.13,1,5.363,14.944,2.786,33.583
Saw,21000.13,8,8.532,8.499,0.996,33.583
Triangle,1500.13,1,3.965,23.734,5.986,41.456
Triangle,1500.13,8,5.305,16.950,3.195,41.456
Triangle,3000.13,1,4.453,19.269,4.327,73.916
Triangle,3000.13,8,6.527,12.839,1.967,73.916
Triangle,6000.13,1,5.443,16.295,2.994,40.985
Triangle,6000.13,8,8.958,9.515,1.062,40.985
Triangle,11000.13,1,7.155,16.073,2.246,33.194
Triangle,11000.13,8,12.342,9.140,0.741,33.194
Triangle,16000.13,1,7.939,17.026,2.145,34.738
Triangle,16000.13,8,14.188,9.094,0.641,34.738
Triangle,21000.13,1,8.314,15.736,1.893,34.583
Triangle,21000.13,8,15.867,8.719,0.550,34.583
Pulse(0.23),1500.13,1,6.658,31.780,4.773,290.479
Pulse(0.23),1500.13,8,7.440,22.586,3.036,290.479
Pulse(0.23),3000.13,1,7.062,20.703,2.932,160.804
Pulse(0.23),3000.13,8,8.244,14.609,1.772,160.804
Pulse(0.23),6000.13,1,7.927,17.500,2.208,80.333
Pulse(0.23),6000.13,8,10.608,11.796,1.112,80.333
Pulse(0.23),11000.13,1,9.574,16.316,1.704,55.667
Pulse(0.23),11000.13,8,13.321,10.563,0.793,55.667
Pulse(0.23),16000.13,1,10.863,16.183,1.490,77.010
Pulse(0.23),16000.13,8,18.737,9.627,0.514,77.010
Pulse(0.23),21000.13,1,12.273,21.652,1.764,65.594
Pulse(0.23),21000.13,8,25.025,13.663,0.546,65.594
