shape,hz,baseline_total_error_db,candidate_total_error_db,candidate_taper_error_db,simd_numerical_error_db
Saw,1500.13,-17.308,-303.592,-35.473,-124.506
Saw,3000.13,-14.388,-309.384,-309.384,-133.274
Saw,6000.13,-11.361,-314.846,-314.846,-138.988
Saw,8000.13,-10.142,-320.080,-320.080,-142.876
Saw,11000.13,-6.571,-319.916,-29.585,-141.791
Saw,16000.13,-4.860,-inf,-inf,-142.661
Saw,21000.13,-2.098,-inf,-inf,-142.744
Triangle,1500.13,-35.690,-314.143,-57.071,-135.004
Triangle,3000.13,-26.634,-316.088,-316.088,-137.532
Triangle,6000.13,-17.594,-317.633,-317.633,-140.808
Triangle,8000.13,-14.461,-inf,-inf,-144.573
Triangle,11000.13,-9.668,-inf,-inf,-144.529
Triangle,16000.13,-4.763,-inf,-inf,-143.517
Triangle,21000.13,-2.098,-inf,-inf,-144.535
Pulse(0.23),1500.13,-19.021,-305.991,-34.391,-128.735
Pulse(0.23),3000.13,-15.648,-309.649,-309.649,-135.266
Pulse(0.23),6000.13,-11.754,-313.609,-313.609,-140.142
Pulse(0.23),8000.13,-10.219,-318.470,-318.470,-143.359
Pulse(0.23),11000.13,-6.922,-317.721,-28.868,-142.128
Pulse(0.23),16000.13,-5.589,-321.545,-321.545,-145.327
Pulse(0.23),21000.13,-2.184,-320.946,-320.946,-144.718
