shape,hz,baseline_unwanted_db,candidate_unwanted_db
Saw,1501.46484375,-41.029,-124.823
Saw,3001.46484375,-36.015,-134.324
Saw,6001.46484375,-29.416,-143.120
Saw,7999.51171875,-46.745,-144.294
Saw,10999.51171875,-45.638,-144.576
Saw,16000.48828125,-34.773,-145.658
Saw,21001.46484375,-54.972,-145.658
Triangle,1501.46484375,-69.218,-135.318
Triangle,3001.46484375,-61.528,-137.911
Triangle,6001.46484375,-57.538,-141.347
Triangle,7999.51171875,-90.183,-145.231
Triangle,10999.51171875,-55.141,-146.035
Triangle,16000.48828125,-79.482,-146.035
Triangle,21001.46484375,-65.342,-146.035
Pulse(0.23),1501.46484375,-41.391,-127.918
Pulse(0.23),3001.46484375,-39.943,-135.445
Pulse(0.23),6001.46484375,-38.145,-141.450
Pulse(0.23),7999.51171875,-55.518,-142.356
Pulse(0.23),10999.51171875,-43.781,-142.942
Pulse(0.23),16000.48828125,-34.774,-145.288
Pulse(0.23),21001.46484375,-56.455,-145.699
