shape,hz,baseline_unwanted_db,candidate_unwanted_db
Saw,1501.46484375,-41.029,-126.069
Saw,3001.46484375,-36.015,-130.818
Saw,6001.46484375,-29.416,-134.817
Saw,7999.51171875,-46.745,-136.694
Saw,10999.51171875,-45.638,-136.419
Saw,16000.48828125,-34.773,-139.217
Saw,21001.46484375,-54.972,-139.217
Triangle,1501.46484375,-69.218,-136.376
Triangle,3001.46484375,-61.528,-137.188
Triangle,6001.46484375,-57.538,-138.186
Triangle,7999.51171875,-90.183,-139.141
Triangle,10999.51171875,-55.141,-139.442
Triangle,16000.48828125,-79.482,-139.442
Triangle,21001.46484375,-65.342,-139.442
Pulse(0.23),1501.46484375,-41.391,-128.746
Pulse(0.23),3001.46484375,-39.943,-132.291
Pulse(0.23),6001.46484375,-38.145,-135.545
Pulse(0.23),7999.51171875,-55.518,-135.989
Pulse(0.23),10999.51171875,-43.781,-135.883
Pulse(0.23),16000.48828125,-34.774,-138.396
Pulse(0.23),21001.46484375,-56.455,-138.690
