shape,step,lanes,shipping_ns,one_x_ns,ratio
1,0.01,1,3.4526,3.3951,0.9833
1,0.01,4,3.5819,3.8388,1.0717
1,0.01,8,1.6708,1.6452,0.9847
1,0.01,16,1.7161,1.6752,0.9762
1,0.01,64,1.6843,1.6651,0.9886
1,0.19,1,8.4980,9.0175,1.0611
1,0.19,4,7.5306,7.4924,0.9949
1,0.19,8,4.5487,9.0263,1.9844
1,0.19,16,4.5434,8.7686,1.9299
1,0.19,64,4.5503,8.8366,1.9420
1,0.225,1,9.0284,10.2664,1.1371
1,0.225,4,7.6487,19.8881,2.6002
1,0.225,8,4.5448,8.7621,1.9279
1,0.225,16,4.5587,8.2537,1.8106
1,0.225,64,4.4608,8.1569,1.8286
1,0.3,1,8.3373,4.0894,0.4905
1,0.3,4,7.4850,3.0272,0.4044
1,0.3,8,4.5472,2.7206,0.5983
1,0.3,16,4.4925,2.6983,0.6006
1,0.3,64,4.5937,2.7189,0.5919
1,0.44,1,8.7079,4.2133,0.4838
1,0.44,4,8.9780,3.0733,0.3423
1,0.44,8,4.5615,2.7350,0.5996
1,0.44,16,4.4811,2.7275,0.6087
1,0.44,64,4.4990,2.8067,0.6238
2,0.01,1,1.5368,1.5872,1.0328
2,0.01,4,2.4445,2.3960,0.9802
2,0.01,8,0.3961,0.4247,1.0723
2,0.01,16,0.3996,0.3810,0.9533
2,0.01,64,0.3960,0.3796,0.9586
2,0.19,1,4.1172,4.1093,0.9981
2,0.19,4,4.4598,4.5397,1.0179
2,0.19,8,0.5936,1.3055,2.1992
2,0.19,16,0.5875,1.3597,2.3142
2,0.19,64,0.5824,1.3451,2.3096
2,0.225,1,4.7928,7.6545,1.5971
2,0.225,4,4.4860,6.7434,1.5032
2,0.225,8,0.5893,1.3509,2.2924
2,0.225,16,0.5864,1.3047,2.2247
2,0.225,64,0.5875,1.4110,2.4018
2,0.3,1,5.4487,3.5653,0.6544
2,0.3,4,6.2480,2.8402,0.4546
2,0.3,8,0.9037,0.4212,0.4661
2,0.3,16,0.9044,0.4205,0.4649
2,0.3,64,0.9638,0.4217,0.4375
2,0.44,1,5.5706,3.5110,0.6303
2,0.44,4,6.3011,2.7599,0.4380
2,0.44,8,0.9675,0.4206,0.4347
2,0.44,16,0.9103,0.4215,0.4630
2,0.44,64,0.9091,0.4197,0.4616
3,0.01,1,3.3838,3.3384,0.9866
3,0.01,4,2.3654,2.4195,1.0229
3,0.01,8,1.9446,1.8763,0.9649
3,0.01,16,1.8080,1.8609,1.0293
3,0.01,64,1.8289,1.8613,1.0177
3,0.19,1,7.1246,7.0922,0.9955
3,0.19,4,3.9974,4.0104,1.0033
3,0.19,8,3.9042,3.8579,0.9882
3,0.19,16,3.8585,3.9027,1.0114
3,0.19,64,3.8565,3.8997,1.0112
3,0.225,1,7.0108,6.9900,0.9970
3,0.225,4,4.1369,3.9857,0.9634
3,0.225,8,3.9005,3.9378,1.0096
3,0.225,16,3.8930,3.9392,1.0119
3,0.225,64,3.9347,3.8844,0.9872
3,0.3,1,9.4156,8.7573,0.9301
3,0.3,4,5.5700,5.5548,0.9973
3,0.3,8,5.7147,5.7122,0.9996
3,0.3,16,5.7492,5.7088,0.9930
3,0.3,64,5.7162,5.7299,1.0024
3,0.44,1,9.0544,8.9498,0.9885
3,0.44,4,5.5461,5.5477,1.0003
3,0.44,8,6.5807,5.8273,0.8855
3,0.44,16,5.8358,5.8536,1.0031
3,0.44,64,5.8794,5.8555,0.9959
