shape,step,lanes,shipping_ns,one_x_ns,ratio
1,0.01,1,3.4988,3.2501,0.9289
1,0.01,4,3.5901,3.5492,0.9886
1,0.01,8,1.6357,1.6019,0.9793
1,0.01,16,1.8085,1.7043,0.9424
1,0.01,64,1.6120,1.6192,1.0045
1,0.19,1,8.0657,7.9593,0.9868
1,0.19,4,8.6672,7.9781,0.9205
1,0.19,8,4.4607,8.5985,1.9276
1,0.19,16,4.4235,8.6651,1.9589
1,0.19,64,4.5431,8.6937,1.9136
1,0.225,1,8.1839,11.8643,1.4497
1,0.225,4,7.4793,15.8285,2.1163
1,0.225,8,4.5005,8.5647,1.9031
1,0.225,16,4.4817,8.1033,1.8081
1,0.225,64,4.7325,8.3183,1.7577
1,0.3,1,8.0183,4.1036,0.5118
1,0.3,4,7.4799,3.0198,0.4037
1,0.3,8,4.4955,2.6639,0.5926
1,0.3,16,4.4817,2.7833,0.6210
1,0.3,64,4.5230,2.6567,0.5874
1,0.44,1,7.8933,4.0991,0.5193
1,0.44,4,7.6485,3.0528,0.3991
1,0.44,8,4.5251,2.6613,0.5881
1,0.44,16,4.4346,2.6587,0.5995
1,0.44,64,4.4640,2.6545,0.5947
2,0.01,1,1.5357,1.5843,1.0316
2,0.01,4,2.4043,2.3686,0.9852
2,0.01,8,0.9010,0.9283,1.0303
2,0.01,16,0.9220,0.8848,0.9596
2,0.01,64,0.9102,0.9265,1.0178
2,0.19,1,4.1159,4.1050,0.9974
2,0.19,4,4.3437,4.4043,1.0139
2,0.19,8,2.0657,5.5634,2.6933
2,0.19,16,2.0483,5.3944,2.6336
2,0.19,64,2.0302,5.2535,2.5877
2,0.225,1,4.1923,8.7182,2.0796
2,0.225,4,4.6410,6.9503,1.4976
2,0.225,8,2.0401,5.4479,2.6705
2,0.225,16,2.1308,5.2411,2.4597
2,0.225,64,2.0345,5.7417,2.8221
2,0.3,1,5.4167,3.5471,0.6548
2,0.3,4,6.1358,2.6812,0.4370
2,0.3,8,2.9844,1.5930,0.5338
2,0.3,16,2.9694,1.5430,0.5196
2,0.3,64,2.9813,1.5947,0.5349
2,0.44,1,5.3022,3.5893,0.6769
2,0.44,4,6.1956,2.6771,0.4321
2,0.44,8,3.0764,1.5534,0.5050
2,0.44,16,3.0315,1.5860,0.5232
2,0.44,64,3.0385,1.5844,0.5214
3,0.01,1,3.4137,3.4081,0.9984
3,0.01,4,2.3704,2.3995,1.0123
3,0.01,8,1.8503,1.8858,1.0192
3,0.01,16,1.7517,1.7924,1.0233
3,0.01,64,1.9016,1.8226,0.9585
3,0.19,1,6.9906,7.0416,1.0073
3,0.19,4,3.8653,3.9162,1.0132
3,0.19,8,4.1245,3.9151,0.9492
3,0.19,16,3.9107,4.0090,1.0251
3,0.19,64,3.9620,3.9962,1.0086
3,0.225,1,7.0569,6.9862,0.9900
3,0.225,4,4.0344,4.1657,1.0326
3,0.225,8,3.9022,4.0228,1.0309
3,0.225,16,3.9995,3.9277,0.9821
3,0.225,64,4.0496,3.8982,0.9626
3,0.3,1,8.9954,9.1091,1.0126
3,0.3,4,5.5752,5.6017,1.0047
3,0.3,8,5.7580,5.6929,0.9887
3,0.3,16,5.6798,5.6802,1.0001
3,0.3,64,5.7404,5.7291,0.9980
3,0.44,1,9.5943,8.9336,0.9311
3,0.44,4,5.5688,5.5560,0.9977
3,0.44,8,6.6579,6.6666,1.0013
3,0.44,16,5.7825,5.7962,1.0024
3,0.44,64,5.7991,5.7939,0.9991
