shape,carrier_hz,pm_depth_cycles,nested_depth_cycles,reference_convergence_db,baseline_error_db,candidate_error_db,candidate_minus_baseline_db,reference_status
saw,9996.09375,0.0,0.0,-inf,-7.573,-8.229,-0.656,exact-static-Fourier
saw,9996.09375,0.02,0.0,-54.014,-7.573,-8.229,-0.656,converged-256x-1024x
saw,9996.09375,0.15,0.0,-53.96,-7.614,-8.21,-0.596,converged-256x-1024x
saw,9996.09375,0.5,0.0,-53.633,-7.015,-7.363,-0.348,converged-256x-1024x
saw,9996.09375,0.15,0.5,-53.817,-6.453,-6.753,-0.301,converged-256x-1024x
saw,9996.09375,0.5,0.5,-49.349,-3.956,-3.961,-0.005,converged-256x-1024x
saw,12949.21875,0.0,0.0,-inf,-7.355,-136.603,-129.248,exact-static-Fourier
saw,12949.21875,0.02,0.0,-51.856,-7.296,-24.105,-16.809,converged-256x-1024x
saw,12949.21875,0.15,0.0,-52.438,-6.017,-9.885,-3.867,converged-256x-1024x
saw,12949.21875,0.5,0.0,-52.501,-5.593,-8.67,-3.077,converged-256x-1024x
saw,12949.21875,0.15,0.5,-52.405,-5.3,-7.514,-2.214,converged-256x-1024x
saw,12949.21875,0.5,0.5,-48.88,-3.491,-2.134,1.357,converged-256x-1024x
triangle,9996.09375,0.0,0.0,-inf,-11.073,-11.729,-0.656,exact-static-Fourier
triangle,9996.09375,0.02,0.0,-119.482,-11.073,-11.729,-0.656,converged-256x-1024x
triangle,9996.09375,0.15,0.0,-119.112,-11.02,-11.666,-0.646,converged-256x-1024x
triangle,9996.09375,0.5,0.0,-117.01,-10.819,-11.43,-0.611,converged-256x-1024x
triangle,9996.09375,0.15,0.5,-115.631,-9.909,-10.345,-0.437,converged-256x-1024x
triangle,9996.09375,0.5,0.5,-104.539,-4.89,-4.85,0.04,converged-256x-1024x
triangle,12949.21875,0.0,0.0,-inf,-7.398,-136.603,-129.205,exact-static-Fourier
triangle,12949.21875,0.02,0.0,-116.061,-7.398,-133.967,-126.569,converged-256x-1024x / candidate-below-convergence
triangle,12949.21875,0.15,0.0,-115.781,-7.398,-71.331,-63.933,converged-256x-1024x
triangle,12949.21875,0.5,0.0,-114.434,-7.307,-21.871,-14.565,converged-256x-1024x
triangle,12949.21875,0.15,0.5,-113.307,-7.046,-13.767,-6.721,converged-256x-1024x
triangle,12949.21875,0.5,0.5,-103.954,-4.444,-2.729,1.714,converged-256x-1024x
