frames,parents,incoming,override,round,candidate,ns_block
32,0,1,false,0,0,44.16603333333333
32,0,1,false,0,1,7.410533333333333
32,0,1,false,1,1,6.9592
32,0,1,false,1,0,38.809333333333335
32,0,1,false,2,0,40.612033333333336
32,0,1,false,2,1,7.988066666666667
32,0,1,false,3,1,7.137766666666667
32,0,1,false,3,0,41.077733333333335
32,0,1,false,4,0,42.68416666666667
32,0,1,false,4,1,8.1827
32,0,1,false,5,1,9.391833333333333
32,0,1,false,5,0,47.015366666666665
32,0,1,false,6,0,38.88106666666667
32,0,1,false,6,1,7.8124666666666664
32,0,1,false,7,1,6.9405
32,0,1,false,7,0,41.29906666666667
32,0,1,true,0,0,9.6636
32,0,1,true,0,1,10.589
32,0,1,true,1,1,9.687966666666666
32,0,1,true,1,0,10.4922
32,0,1,true,2,0,10.096233333333334
32,0,1,true,2,1,9.715666666666667
32,0,1,true,3,1,10.861733333333333
32,0,1,true,3,0,10.2715
32,0,1,true,4,0,9.716333333333333
32,0,1,true,4,1,9.657266666666667
32,0,1,true,5,1,9.653566666666666
32,0,1,true,5,0,11.361166666666668
32,0,1,true,6,0,9.6646
32,0,1,true,6,1,15.2524
32,0,1,true,7,1,10.517233333333333
32,0,1,true,7,0,11.286033333333334
32,0,4,false,0,0,155.20783333333333
32,0,4,false,0,1,22.1261
32,0,4,false,1,1,24.8786
32,0,4,false,1,0,155.72763333333333
32,0,4,false,2,0,153.00416666666666
32,0,4,false,2,1,21.9682
32,0,4,false,3,1,22.155133333333332
32,0,4,false,3,0,152.61023333333333
32,0,4,false,4,0,185.74633333333333
32,0,4,false,4,1,23.1386
32,0,4,false,5,1,25.7162
32,0,4,false,5,0,155.90523333333334
32,0,4,false,6,0,154.9678
32,0,4,false,6,1,23.528533333333332
32,0,4,false,7,1,22.6923
32,0,4,false,7,0,152.47203333333334
32,0,4,true,0,0,106.4288
32,0,4,true,0,1,30.647633333333335
32,0,4,true,1,1,27.626066666666667
32,0,4,true,1,0,107.29076666666667
32,0,4,true,2,0,112.15946666666666
32,0,4,true,2,1,26.660266666666665
32,0,4,true,3,1,29.55666666666667
32,0,4,true,3,0,108.06693333333334
32,0,4,true,4,0,105.6316
32,0,4,true,4,1,26.672633333333334
32,0,4,true,5,1,26.3418
32,0,4,true,5,0,111.14723333333333
32,0,4,true,6,0,105.7471
32,0,4,true,6,1,26.2273
32,0,4,true,7,1,26.118433333333332
32,0,4,true,7,0,110.16646666666666
32,1,1,false,0,0,57.9015
32,1,1,false,0,1,13.4994
32,1,1,false,1,1,12.625066666666667
32,1,1,false,1,0,61.3774
32,1,1,false,2,0,66.28913333333334
32,1,1,false,2,1,12.5887
32,1,1,false,3,1,13.260366666666666
32,1,1,false,3,0,59.5867
32,1,1,false,4,0,56.503366666666665
32,1,1,false,4,1,13.082433333333332
32,1,1,false,5,1,14.453833333333334
32,1,1,false,5,0,58.1001
32,1,1,false,6,0,56.21796666666667
32,1,1,false,6,1,13.020666666666667
32,1,1,false,7,1,13.194933333333333
32,1,1,false,7,0,56.670633333333335
32,1,1,true,0,0,83.387
32,1,1,true,0,1,13.702033333333333
32,1,1,true,1,1,13.213966666666666
32,1,1,true,1,0,87.88043333333333
32,1,1,true,2,0,85.10156666666667
32,1,1,true,2,1,13.695366666666667
32,1,1,true,3,1,13.015666666666666
32,1,1,true,3,0,83.87236666666666
32,1,1,true,4,0,83.3596
32,1,1,true,4,1,13.149533333333334
32,1,1,true,5,1,12.7576
32,1,1,true,5,0,83.8764
32,1,1,true,6,0,90.28943333333333
32,1,1,true,6,1,13.742766666666666
32,1,1,true,7,1,12.906166666666667
32,1,1,true,7,0,91.16073333333334
32,1,4,false,0,0,224.147
