variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,311.69745
baseline,4,0.0001,0,true,308.06245
baseline,4,0.0001,0.49,false,308.40595
baseline,4,0.0001,0.49,true,310.50465
baseline,4,0.0001,4,false,651.4338
baseline,4,0.0001,4,true,622.9788
baseline,4,0.01,0,false,409.1497
baseline,4,0.01,0,true,399.64685
baseline,4,0.01,0.49,false,645.8573
baseline,4,0.01,0.49,true,481.19355
baseline,4,0.01,4,false,674.3224
baseline,4,0.01,4,true,646.1443
baseline,4,0.12,0,false,668.9302
baseline,4,0.12,0,true,666.89065
baseline,4,0.12,0.49,false,754.9567
baseline,4,0.12,0.49,true,681.72955
baseline,4,0.12,4,false,723.59085
