variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,313.6126
candidate,4,0.0001,0,true,313.49965
candidate,4,0.0001,0.49,false,304.9262
candidate,4,0.0001,0.49,true,302.5972
candidate,4,0.0001,4,false,606.98465
candidate,4,0.0001,4,true,591.9324
candidate,4,0.01,0,false,397.70635
candidate,4,0.01,0,true,407.46865
candidate,4,0.01,0.49,false,570.67325
candidate,4,0.01,0.49,true,477.26915
candidate,4,0.01,4,false,660.533
candidate,4,0.01,4,true,628.2738
candidate,4,0.12,0,false,653.49285
candidate,4,0.12,0,true,627.9403
candidate,4,0.12,0.49,false,666.41195
candidate,4,0.12,0.49,true,637.2739
candidate,4,0.12,4,false,687.1412
candidate,4,0.12,4,true,696.0282
candidate,8,0.0001,0,false,485.0524
candidate,8,0.0001,0,true,488.09395
candidate,8,0.0001,0.49,false,503.56435
candidate,8,0.0001,0.49,true,502.21985
candidate,8,0.0001,4,false,790.0407
candidate,8,0.0001,4,true,804.9633
candidate,8,0.01,0,false,671.39945
candidate,8,0.01,0,true,678.062
candidate,8,0.01,0.49,false,884.1078
candidate,8,0.01,0.49,true,816.9424
candidate,8,0.01,4,false,895.9112
candidate,8,0.01,4,true,851.3128
candidate,8,0.12,0,false,861.31895
candidate,8,0.12,0,true,869.8698
candidate,8,0.12,0.49,false,857.0034
candidate,8,0.12,0.49,true,945.115
candidate,8,0.12,4,false,882.45235
candidate,8,0.12,4,true,876.88995
candidate,16,0.0001,0,false,353.0775
candidate,16,0.0001,0,true,355.6989
candidate,16,0.0001,0.49,false,354.55025
candidate,16,0.0001,0.49,true,352.07395
candidate,16,0.0001,4,false,591.8928
candidate,16,0.0001,4,true,511.2905
candidate,16,0.01,0,false,520.1164
candidate,16,0.01,0,true,519.9085
candidate,16,0.01,0.49,false,720.7831
candidate,16,0.01,0.49,true,1271.1111
candidate,16,0.01,4,false,646.94095
candidate,16,0.01,4,true,681.8938
candidate,16,0.12,0,false,638.1888
candidate,16,0.12,0,true,827.58545
candidate,16,0.12,0.49,false,647.99705
candidate,16,0.12,0.49,true,806.50505
candidate,16,0.12,4,false,632.74455
candidate,16,0.12,4,true,644.8669
