variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,327.1818
baseline,4,0.0001,0,true,314.50865
baseline,4,0.0001,0.49,false,316.6038
baseline,4,0.0001,0.49,true,440.3898
baseline,4,0.0001,4,false,779.58645
baseline,4,0.0001,4,true,760.9721
baseline,4,0.01,0,false,481.06125
baseline,4,0.01,0,true,468.1893
baseline,4,0.01,0.49,false,510.13415
baseline,4,0.01,0.49,true,530.66265
baseline,4,0.01,4,false,734.40295
baseline,4,0.01,4,true,872.99785
baseline,4,0.12,0,false,888.7376
baseline,4,0.12,0,true,925.4586
baseline,4,0.12,0.49,false,883.91785
baseline,4,0.12,0.49,true,888.5223
baseline,4,0.12,4,false,947.62865
baseline,4,0.12,4,true,852.18085
baseline,8,0.0001,0,false,583.90565
baseline,8,0.0001,0,true,763.74635
baseline,8,0.0001,0.49,false,536.46345
baseline,8,0.0001,0.49,true,750.21035
baseline,8,0.0001,4,false,1324.86845
baseline,8,0.0001,4,true,1420.61415
baseline,8,0.01,0,false,863.86505
baseline,8,0.01,0,true,1019.5232
baseline,8,0.01,0.49,false,1177.6213
baseline,8,0.01,0.49,true,1151.6428
baseline,8,0.01,4,false,1445.46695
baseline,8,0.01,4,true,1393.7731
baseline,8,0.12,0,false,1408.78075
baseline,8,0.12,0,true,2482.73315
baseline,8,0.12,0.49,false,1859.12805
baseline,8,0.12,0.49,true,2141.95635
baseline,8,0.12,4,false,1722.65445
baseline,8,0.12,4,true,1757.82105
baseline,16,0.0001,0,false,583.94065
baseline,16,0.0001,0,true,615.38765
baseline,16,0.0001,0.49,false,605.16625
baseline,16,0.0001,0.49,true,593.8301
baseline,16,0.0001,4,false,1156.2197
baseline,16,0.0001,4,true,991.8309
baseline,16,0.01,0,false,856.07175
baseline,16,0.01,0,true,926.3054
baseline,16,0.01,0.49,false,1074.29895
baseline,16,0.01,0.49,true,1267.0196
baseline,16,0.01,4,false,1254.7015
baseline,16,0.01,4,true,1217.00605
baseline,16,0.12,0,false,1311.4938
baseline,16,0.12,0,true,1703.4494
baseline,16,0.12,0.49,false,1423.36675
baseline,16,0.12,0.49,true,1774.693
baseline,16,0.12,4,false,1284.7579
baseline,16,0.12,4,true,1360.5679
