variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,384.5644
candidate,4,0.0001,0,true,489.99275
candidate,4,0.0001,0.49,false,382.56795
candidate,4,0.0001,0.49,true,421.339
candidate,4,0.0001,4,false,804.29755
candidate,4,0.0001,4,true,726.71285
candidate,4,0.01,0,false,569.5569
candidate,4,0.01,0,true,497.0439
candidate,4,0.01,0.49,false,594.93125
candidate,4,0.01,0.49,true,593.65085
candidate,4,0.01,4,false,901.9992
candidate,4,0.01,4,true,836.1086
candidate,4,0.12,0,false,725.6768
candidate,4,0.12,0,true,856.53545
candidate,4,0.12,0.49,false,778.83205
candidate,4,0.12,0.49,true,867.3288
candidate,4,0.12,4,false,967.06945
candidate,4,0.12,4,true,867.5581
candidate,8,0.0001,0,false,435.63665
candidate,8,0.0001,0,true,404.94175
candidate,8,0.0001,0.49,false,420.2659
candidate,8,0.0001,0.49,true,403.44145
candidate,8,0.0001,4,false,647.6805
candidate,8,0.0001,4,true,651.82175
candidate,8,0.01,0,false,564.14275
candidate,8,0.01,0,true,595.8256
candidate,8,0.01,0.49,false,719.70775
candidate,8,0.01,0.49,true,720.86355
candidate,8,0.01,4,false,712.43425
candidate,8,0.01,4,true,712.7828
candidate,8,0.12,0,false,718.26755
candidate,8,0.12,0,true,718.78885
candidate,8,0.12,0.49,false,718.3377
candidate,8,0.12,0.49,true,714.5064
candidate,8,0.12,4,false,700.2409
candidate,8,0.12,4,true,712.9881
candidate,16,0.0001,0,false,587.0729
candidate,16,0.0001,0,true,586.52355
candidate,16,0.0001,0.49,false,579.02175
candidate,16,0.0001,0.49,true,594.3769
candidate,16,0.0001,4,false,1181.1078
candidate,16,0.0001,4,true,1450.0431
candidate,16,0.01,0,false,1018.3304
candidate,16,0.01,0,true,1069.8878
candidate,16,0.01,0.49,false,1194.17305
candidate,16,0.01,0.49,true,1604.05275
candidate,16,0.01,4,false,1203.70895
candidate,16,0.01,4,true,1184.26255
candidate,16,0.12,0,false,1244.0809
candidate,16,0.12,0,true,1617.98125
candidate,16,0.12,0.49,false,1269.78525
candidate,16,0.12,0.49,true,1678.52725
candidate,16,0.12,4,false,1253.4541
candidate,16,0.12,4,true,1321.7898
