variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,326.82585
candidate,4,0.0001,0,true,327.82535
candidate,4,0.0001,0.49,false,309.5868
candidate,4,0.0001,0.49,true,312.06855
candidate,4,0.0001,4,false,618.97525
candidate,4,0.0001,4,true,609.69675
candidate,4,0.01,0,false,403.3164
candidate,4,0.01,0,true,400.64385
candidate,4,0.01,0.49,false,476.50555
candidate,4,0.01,0.49,true,482.61575
candidate,4,0.01,4,false,672.8557
candidate,4,0.01,4,true,653.74835
candidate,4,0.12,0,false,664.4775
candidate,4,0.12,0,true,647.1759
candidate,4,0.12,0.49,false,672.056
candidate,4,0.12,0.49,true,756.3734
candidate,4,0.12,4,false,725.9434
candidate,4,0.12,4,true,709.2457
candidate,8,0.0001,0,false,500.84325
candidate,8,0.0001,0,true,484.0624
candidate,8,0.0001,0.49,false,488.61935
candidate,8,0.0001,0.49,true,480.18955
candidate,8,0.0001,4,false,854.5227
candidate,8,0.0001,4,true,716.42555
candidate,8,0.01,0,false,662.2527
candidate,8,0.01,0,true,654.27665
candidate,8,0.01,0.49,false,821.7702
candidate,8,0.01,0.49,true,968.2856
candidate,8,0.01,4,false,886.1445
candidate,8,0.01,4,true,855.12365
candidate,8,0.12,0,false,896.12105
candidate,8,0.12,0,true,969.44185
candidate,8,0.12,0.49,false,933.7995
candidate,8,0.12,0.49,true,1072.6303
candidate,8,0.12,4,false,900.08555
candidate,8,0.12,4,true,868.6621
candidate,16,0.0001,0,false,353.4941
candidate,16,0.0001,0,true,373.3947
candidate,16,0.0001,0.49,false,416.45575
candidate,16,0.0001,0.49,true,383.41285
candidate,16,0.0001,4,false,603.58555
candidate,16,0.0001,4,true,508.3286
candidate,16,0.01,0,false,524.90915
candidate,16,0.01,0,true,515.8795
candidate,16,0.01,0.49,false,725.93245
candidate,16,0.01,0.49,true,889.20065
candidate,16,0.01,4,false,639.0887
candidate,16,0.01,4,true,670.88975
candidate,16,0.12,0,false,686.1803
candidate,16,0.12,0,true,759.72045
candidate,16,0.12,0.49,false,693.62055
candidate,16,0.12,0.49,true,883.2712
candidate,16,0.12,4,false,679.22485
candidate,16,0.12,4,true,672.5032
