variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,313.92335
baseline,4,0.0001,0,true,320.0711
baseline,4,0.0001,0.49,false,314.9514
baseline,4,0.0001,0.49,true,315.2213
baseline,4,0.0001,4,false,625.1466
baseline,4,0.0001,4,true,613.5
baseline,4,0.01,0,false,407.0656
baseline,4,0.01,0,true,402.2984
baseline,4,0.01,0.49,false,482.9077
baseline,4,0.01,0.49,true,483.0424
baseline,4,0.01,4,false,669.37095
baseline,4,0.01,4,true,640.12225
baseline,4,0.12,0,false,662.81405
baseline,4,0.12,0,true,646.9275
baseline,4,0.12,0.49,false,680.33145
baseline,4,0.12,0.49,true,657.46945
baseline,4,0.12,4,false,708.5346
baseline,4,0.12,4,true,687.9315
baseline,8,0.0001,0,false,476.99375
baseline,8,0.0001,0,true,473.6121
baseline,8,0.0001,0.49,false,483.3689
baseline,8,0.0001,0.49,true,476.86855
baseline,8,0.0001,4,false,818.81975
baseline,8,0.0001,4,true,701.14245
baseline,8,0.01,0,false,661.6092
baseline,8,0.01,0,true,653.76835
baseline,8,0.01,0.49,false,833.4914
baseline,8,0.01,0.49,true,966.4684
baseline,8,0.01,4,false,878.0077
baseline,8,0.01,4,true,835.9907
baseline,8,0.12,0,false,885.83605
baseline,8,0.12,0,true,1009.75075
baseline,8,0.12,0.49,false,891.1465
baseline,8,0.12,0.49,true,1074.99585
baseline,8,0.12,4,false,894.37545
baseline,8,0.12,4,true,883.23105
baseline,16,0.0001,0,false,355.56075
baseline,16,0.0001,0,true,373.41325
baseline,16,0.0001,0.49,false,366.34205
baseline,16,0.0001,0.49,true,366.70505
baseline,16,0.0001,4,false,591.13425
baseline,16,0.0001,4,true,513.92455
baseline,16,0.01,0,false,518.4644
baseline,16,0.01,0,true,511.75275
baseline,16,0.01,0.49,false,742.7909
baseline,16,0.01,0.49,true,887.0123
baseline,16,0.01,4,false,659.8796
baseline,16,0.01,4,true,791.5175
baseline,16,0.12,0,false,648.98365
baseline,16,0.12,0,true,808.054
baseline,16,0.12,0.49,false,634.4106
baseline,16,0.12,0.49,true,813.9644
baseline,16,0.12,4,false,648.46135
baseline,16,0.12,4,true,721.0004
