variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,370.4087
candidate,4,0.0001,0,true,325.56995
candidate,4,0.0001,0.49,false,410.8353
candidate,4,0.0001,0.49,true,366.1523
candidate,4,0.0001,4,false,851.40995
candidate,4,0.0001,4,true,763.01445
candidate,4,0.01,0,false,474.69875
candidate,4,0.01,0,true,445.8196
candidate,4,0.01,0.49,false,561.97015
candidate,4,0.01,0.49,true,570.87415
candidate,4,0.01,4,false,804.52965
candidate,4,0.01,4,true,853.75805
candidate,4,0.12,0,false,807.088
candidate,4,0.12,0,true,888.96275
candidate,4,0.12,0.49,false,822.1368
candidate,4,0.12,0.49,true,925.08785
candidate,4,0.12,4,false,918.9586
candidate,4,0.12,4,true,974.09685
candidate,8,0.0001,0,false,400.74455
candidate,8,0.0001,0,true,399.29735
candidate,8,0.0001,0.49,false,402.12215
candidate,8,0.0001,0.49,true,423.874
candidate,8,0.0001,4,false,647.6551
candidate,8,0.0001,4,true,648.64715
candidate,8,0.01,0,false,564.79095
candidate,8,0.01,0,true,551.28095
candidate,8,0.01,0.49,false,712.30885
candidate,8,0.01,0.49,true,702.5726
candidate,8,0.01,4,false,699.56105
candidate,8,0.01,4,true,705.58665
candidate,8,0.12,0,false,697.62765
candidate,8,0.12,0,true,724.30145
candidate,8,0.12,0.49,false,702.2977
candidate,8,0.12,0.49,true,709.81355
candidate,8,0.12,4,false,715.0319
candidate,8,0.12,4,true,706.27525
candidate,16,0.0001,0,false,361.57485
candidate,16,0.0001,0,true,360.84175
candidate,16,0.0001,0.49,false,362.1097
candidate,16,0.0001,0.49,true,364.0726
candidate,16,0.0001,4,false,549.73765
candidate,16,0.0001,4,true,552.7242
candidate,16,0.01,0,false,507.49585
candidate,16,0.01,0,true,512.5219
candidate,16,0.01,0.49,false,693.6486
candidate,16,0.01,0.49,true,709.1345
candidate,16,0.01,4,false,624.8046
candidate,16,0.01,4,true,619.72745
candidate,16,0.12,0,false,651.552
candidate,16,0.12,0,true,608.8079
candidate,16,0.12,0.49,false,591.48875
candidate,16,0.12,0.49,true,592.8403
candidate,16,0.12,4,false,593.47175
candidate,16,0.12,4,true,603.7493
