variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,690.4542
baseline,4,0.0001,0,true,757.5497
baseline,4,0.0001,0.49,false,853.1281
baseline,4,0.0001,0.49,true,629.6715
baseline,4,0.0001,4,false,1341.7604
baseline,4,0.0001,4,true,1428.6648
baseline,4,0.01,0,false,1099.928
baseline,4,0.01,0,true,1082.7731
baseline,4,0.01,0.49,false,1064.1801
baseline,4,0.01,0.49,true,1178.9594
baseline,4,0.01,4,false,1706.3303
baseline,4,0.01,4,true,1675.4367
baseline,4,0.12,0,false,1761.7631
baseline,4,0.12,0,true,1771.1643
baseline,4,0.12,0.49,false,1472.8165
baseline,4,0.12,0.49,true,1586.2148
baseline,4,0.12,4,false,1678.1366
baseline,4,0.12,4,true,2009.8219
baseline,8,0.0001,0,false,1039.3705
baseline,8,0.0001,0,true,1089.6275
baseline,8,0.0001,0.49,false,1133.0661
baseline,8,0.0001,0.49,true,1110.5751
baseline,8,0.0001,4,false,2487.4596
baseline,8,0.0001,4,true,2499.2214
baseline,8,0.01,0,false,1582.2108
baseline,8,0.01,0,true,1677.4106
baseline,8,0.01,0.49,false,1783.6151
baseline,8,0.01,0.49,true,2380.481
baseline,8,0.01,4,false,2602.7848
baseline,8,0.01,4,true,2455.0136
baseline,8,0.12,0,false,2788.4204
baseline,8,0.12,0,true,3870.9541
baseline,8,0.12,0.49,false,2552.8013
baseline,8,0.12,0.49,true,3180.1102
baseline,8,0.12,4,false,2744.2426
baseline,8,0.12,4,true,3410.925
baseline,16,0.0001,0,false,1187.6075
baseline,16,0.0001,0,true,1147.8805
baseline,16,0.0001,0.49,false,1145.7442
baseline,16,0.0001,0.49,true,1148.5995
baseline,16,0.0001,4,false,2308.1276
baseline,16,0.0001,4,true,2022.7885
baseline,16,0.01,0,false,1696.0628
baseline,16,0.01,0,true,1765.3234
baseline,16,0.01,0.49,false,1998.1112
baseline,16,0.01,0.49,true,2211.4956
baseline,16,0.01,4,false,2676.5964
baseline,16,0.01,4,true,2397.744
baseline,16,0.12,0,false,2510.2911
baseline,16,0.12,0,true,3354.3706
baseline,16,0.12,0.49,false,2529.1957
baseline,16,0.12,0.49,true,3572.1537
baseline,16,0.12,4,false,3357.1166
baseline,16,0.12,4,true,2633.334
