variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,313.3119
candidate,4,0.0001,0,true,307.8937
candidate,4,0.0001,0.49,false,334.2806
candidate,4,0.0001,0.49,true,309.7846
candidate,4,0.0001,4,false,599.71065
candidate,4,0.0001,4,true,613.0859
candidate,4,0.01,0,false,397.3444
candidate,4,0.01,0,true,408.8313
candidate,4,0.01,0.49,false,482.128
candidate,4,0.01,0.49,true,480.89215
candidate,4,0.01,4,false,629.34995
candidate,4,0.01,4,true,644.4097
candidate,4,0.12,0,false,637.34655
candidate,4,0.12,0,true,656.9101
candidate,4,0.12,0.49,false,649.6206
candidate,4,0.12,0.49,true,665.1636
candidate,4,0.12,4,false,681.30695
candidate,4,0.12,4,true,692.26505
candidate,8,0.0001,0,false,472.9486
candidate,8,0.0001,0,true,475.0398
candidate,8,0.0001,0.49,false,480.34585
candidate,8,0.0001,0.49,true,477.4695
candidate,8,0.0001,4,false,810.18875
candidate,8,0.0001,4,true,668.1085
candidate,8,0.01,0,false,666.5752
candidate,8,0.01,0,true,659.78095
candidate,8,0.01,0.49,false,820.7652
candidate,8,0.01,0.49,true,955.6575
candidate,8,0.01,4,false,866.13375
candidate,8,0.01,4,true,826.74425
candidate,8,0.12,0,false,878.75985
candidate,8,0.12,0,true,971.02375
candidate,8,0.12,0.49,false,862.652
candidate,8,0.12,0.49,true,1049.53935
candidate,8,0.12,4,false,891.39295
candidate,8,0.12,4,true,850.41955
candidate,16,0.0001,0,false,359.4476
candidate,16,0.0001,0,true,382.99575
candidate,16,0.0001,0.49,false,361.95895
candidate,16,0.0001,0.49,true,361.7887
candidate,16,0.0001,4,false,611.21855
candidate,16,0.0001,4,true,510.15285
candidate,16,0.01,0,false,532.1326
candidate,16,0.01,0,true,528.02035
candidate,16,0.01,0.49,false,734.1178
candidate,16,0.01,0.49,true,901.27635
candidate,16,0.01,4,false,639.41315
candidate,16,0.01,4,true,729.7437
candidate,16,0.12,0,false,624.33435
candidate,16,0.12,0,true,736.6045
candidate,16,0.12,0.49,false,637.53135
candidate,16,0.12,0.49,true,815.03355
candidate,16,0.12,4,false,635.651
candidate,16,0.12,4,true,660.65425
