variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,332.51895
baseline,4,0.0001,0,true,308.90725
baseline,4,0.0001,0.49,false,315.91885
baseline,4,0.0001,0.49,true,363.7757
baseline,4,0.0001,4,false,633.1142
baseline,4,0.0001,4,true,619.7119
baseline,4,0.01,0,false,416.89945
baseline,4,0.01,0,true,407.70705
baseline,4,0.01,0.49,false,471.03725
baseline,4,0.01,0.49,true,490.7395
baseline,4,0.01,4,false,661.58265
baseline,4,0.01,4,true,649.0017
baseline,4,0.12,0,false,709.1085
baseline,4,0.12,0,true,669.90975
baseline,4,0.12,0.49,false,688.3031
baseline,4,0.12,0.49,true,679.2073
baseline,4,0.12,4,false,731.21535
baseline,4,0.12,4,true,682.5063
baseline,8,0.0001,0,false,478.6933
baseline,8,0.0001,0,true,483.52465
baseline,8,0.0001,0.49,false,486.7024
baseline,8,0.0001,0.49,true,486.094
baseline,8,0.0001,4,false,823.5309
baseline,8,0.0001,4,true,694.6386
baseline,8,0.01,0,false,660.77195
baseline,8,0.01,0,true,653.88955
baseline,8,0.01,0.49,false,815.8868
baseline,8,0.01,0.49,true,963.00515
baseline,8,0.01,4,false,889.68735
baseline,8,0.01,4,true,848.6158
baseline,8,0.12,0,false,885.84755
baseline,8,0.12,0,true,974.7429
baseline,8,0.12,0.49,false,888.7935
baseline,8,0.12,0.49,true,1052.46025
baseline,8,0.12,4,false,902.3385
baseline,8,0.12,4,true,865.2274
baseline,16,0.0001,0,false,348.8491
baseline,16,0.0001,0,true,351.9458
baseline,16,0.0001,0.49,false,360.98045
baseline,16,0.0001,0.49,true,375.7563
baseline,16,0.0001,4,false,575.47655
baseline,16,0.0001,4,true,498.98745
baseline,16,0.01,0,false,517.7954
baseline,16,0.01,0,true,515.68525
baseline,16,0.01,0.49,false,738.41175
baseline,16,0.01,0.49,true,870.934
baseline,16,0.01,4,false,665.20115
baseline,16,0.01,4,true,658.153
baseline,16,0.12,0,false,625.07655
baseline,16,0.12,0,true,729.5128
baseline,16,0.12,0.49,false,623.00085
baseline,16,0.12,0.49,true,810.5663
baseline,16,0.12,4,false,630.0075
baseline,16,0.12,4,true,640.265
