variant,width,step,depth,optimized,ns_per_block
candidate,4,0.0001,0,false,357.27335
candidate,4,0.0001,0,true,376.4999
candidate,4,0.0001,0.49,false,364.5128
candidate,4,0.0001,0.49,true,368.11125
candidate,4,0.0001,4,false,742.888
candidate,4,0.0001,4,true,764.8387
candidate,4,0.01,0,false,724.57335
candidate,4,0.01,0,true,570.58665
candidate,4,0.01,0.49,false,648.95005
candidate,4,0.01,0.49,true,700.94665
candidate,4,0.01,4,false,760.5036
candidate,4,0.01,4,true,856.34145
candidate,4,0.12,0,false,1193.577
candidate,4,0.12,0,true,755.69235
candidate,4,0.12,0.49,false,724.51525
candidate,4,0.12,0.49,true,816.034
candidate,4,0.12,4,false,775.2028
candidate,4,0.12,4,true,765.46815
candidate,8,0.0001,0,false,573.9447
candidate,8,0.0001,0,true,619.0999
candidate,8,0.0001,0.49,false,576.64685
candidate,8,0.0001,0.49,true,638.34105
candidate,8,0.0001,4,false,1184.6806
candidate,8,0.0001,4,true,878.79635
candidate,8,0.01,0,false,866.5133
candidate,8,0.01,0,true,1016.7183
candidate,8,0.01,0.49,false,945.4376
candidate,8,0.01,0.49,true,1148.13435
candidate,8,0.01,4,false,1096.13475
candidate,8,0.01,4,true,1270.00045
candidate,8,0.12,0,false,1304.4285
candidate,8,0.12,0,true,1755.95275
candidate,8,0.12,0.49,false,1316.53025
candidate,8,0.12,0.49,true,1568.95975
candidate,8,0.12,4,false,1214.2412
candidate,8,0.12,4,true,1178.85875
candidate,16,0.0001,0,false,581.0054
candidate,16,0.0001,0,true,590.49975
candidate,16,0.0001,0.49,false,608.15795
candidate,16,0.0001,0.49,true,602.6827
candidate,16,0.0001,4,false,1032.9608
candidate,16,0.0001,4,true,978.3648
candidate,16,0.01,0,false,835.0793
candidate,16,0.01,0,true,869.13925
candidate,16,0.01,0.49,false,1232.5481
candidate,16,0.01,0.49,true,1356.52625
candidate,16,0.01,4,false,1161.165
candidate,16,0.01,4,true,1272.5403
candidate,16,0.12,0,false,1187.58545
candidate,16,0.12,0,true,1622.9748
candidate,16,0.12,0.49,false,1173.1942
candidate,16,0.12,0.49,true,1595.5098
candidate,16,0.12,4,false,1150.73775
candidate,16,0.12,4,true,1205.6272
