variant,width,step,depth,optimized,ns_per_block
baseline,4,0.0001,0,false,323.9004
baseline,4,0.0001,0,true,317.0596
baseline,4,0.0001,0.49,false,380.8915
baseline,4,0.0001,0.49,true,349.1926
baseline,4,0.0001,4,false,863.5258
baseline,4,0.0001,4,true,881.1299
baseline,4,0.01,0,false,453.3275
baseline,4,0.01,0,true,506.33305
baseline,4,0.01,0.49,false,612.3142
baseline,4,0.01,0.49,true,631.20425
baseline,4,0.01,4,false,837.533
baseline,4,0.01,4,true,1115.3002
baseline,4,0.12,0,false,932.9702
baseline,4,0.12,0,true,913.63145
baseline,4,0.12,0.49,false,960.7186
baseline,4,0.12,0.49,true,905.92285
baseline,4,0.12,4,false,998.3039
baseline,4,0.12,4,true,1042.00745
baseline,8,0.0001,0,false,608.76435
baseline,8,0.0001,0,true,684.4587
baseline,8,0.0001,0.49,false,648.1228
baseline,8,0.0001,0.49,true,678.37055
baseline,8,0.0001,4,false,1422.2911
baseline,8,0.0001,4,true,1354.755
baseline,8,0.01,0,false,954.16225
baseline,8,0.01,0,true,1045.05055
baseline,8,0.01,0.49,false,1180.9634
baseline,8,0.01,0.49,true,1303.35635
baseline,8,0.01,4,false,1508.25
baseline,8,0.01,4,true,1591.36855
baseline,8,0.12,0,false,1548.5118
baseline,8,0.12,0,true,1965.81785
baseline,8,0.12,0.49,false,1480.43995
baseline,8,0.12,0.49,true,2021.4529
baseline,8,0.12,4,false,1281.23795
baseline,8,0.12,4,true,1570.3298
baseline,16,0.0001,0,false,660.6297
baseline,16,0.0001,0,true,671.95435
baseline,16,0.0001,0.49,false,607.7548
baseline,16,0.0001,0.49,true,598.63505
baseline,16,0.0001,4,false,1192.91245
baseline,16,0.0001,4,true,1014.90505
baseline,16,0.01,0,false,930.27065
baseline,16,0.01,0,true,1005.4167
baseline,16,0.01,0.49,false,1060.3196
baseline,16,0.01,0.49,true,1334.9982
baseline,16,0.01,4,false,1320.1437
baseline,16,0.01,4,true,1307.5587
baseline,16,0.12,0,false,1353.10155
baseline,16,0.12,0,true,1721.1156
baseline,16,0.12,0.49,false,1365.53085
baseline,16,0.12,0.49,true,1796.6587
baseline,16,0.12,4,false,1345.0263
baseline,16,0.12,4,true,1463.28155
