carrier,modulator,depth,nested,convergence,baseline,local,central,adaa,adaa_gain_db,adaa_wanted_error_db,adaa_outside_reference_support_db
37.0,23.0,0.0,0.0,-68.73685486900001,-22.6232830508093,-22.623283050809295,-22.62328305080931,-27.955674342962013,-0.03790782201797494,-32.63883067857805,-29.761293742645066
37.0,23.0,0.02,0.0,-69.1293920175926,-22.663517698689056,-22.66200389768182,-22.662056368296998,-27.48599652462028,-0.042290894567222244,-29.843158935983954,-31.265349122614737
37.0,23.0,0.15,0.0,-69.13256106614838,-21.989819656476236,-22.6480701470547,-22.65002682706954,-27.868410277973837,-0.0411423125353987,-27.869604372135296,-63.47646467580265
37.0,23.0,0.5,0.0,-68.06858119075392,-20.728370527093062,-21.06816015818865,-21.077278182264433,-26.000071098900726,-0.058819450055602816,-26.007840317580012,-53.47802478558093
37.0,23.0,0.15,0.5,-57.353223032242255,-9.306545106272383,-9.531455140935835,-13.060739840942052,-11.53454475269724,-0.5918714739349666,-11.535079053126672,-50.634799780797564
37.0,23.0,0.5,0.5,-50.13087352517988,-1.1762501548858633,-3.6087581454841318,-6.527167697235141,-5.346629132116167,-1.748759252382239,-5.346860530429931,-48.08098604520701
37.0,23.0,1.0,1.25,-37.35949258028476,7.71306926096184,0.7734627068256703,3.077870058202778,2.5654742255839387,-10.13888111501634,2.565474061816179,-71.67008487946376
37.0,23.0,0.15,-0.8,-63.26048120338169,-17.870159420500908,-16.771542454503425,-17.717056758409477,-19.601583461911567,-0.11920228067594313,-19.602213355211035,-57.98707163236309
37.0,193.0,0.0,0.0,-68.73685486900001,-22.6232830508093,-22.623283050809295,-22.62328305080931,-27.955674342962013,-0.03790782201797494,-32.63883067857805,-29.761293742645066
37.0,193.0,0.02,0.0,-69.77966599587623,-21.80683273944652,-22.61459845960013,-22.65284569435488,-28.280295042187774,-0.03270513160223579,-28.421050785753298,-43.243664694960884
37.0,193.0,0.15,0.0,-63.81719084418688,-18.33287444759476,-17.296839198163237,-17.512872030601315,-22.312823988174376,-0.12130095288199427,-22.3185820146982,-51.0908091855012
37.0,193.0,0.5,0.0,-57.8297478182946,-10.287416449647363,-11.75342109970649,-12.130148223515157,-16.40504492711478,-0.4086536777307775,-16.406619312531255,-50.81256462666065
37.0,193.0,0.15,0.5,-57.36345759579022,-9.041337217929712,-9.348599899099268,-12.965438107635645,-11.128096173005597,-0.5946610100502546,-11.128189907255592,-57.78700306521056
37.0,193.0,0.5,0.5,-49.982373585125266,-1.088447715111761,-3.629216791223539,-6.055505590979705,-5.302079340745661,-1.6884733160073175,-5.3020854485346325,-63.82108527258293
37.0,193.0,1.0,1.25,-37.80626420652472,7.307531350496456,0.6753756328320786,2.777122386080899,2.545635675025435,-11.035986664221118,2.5454060096898976,-40.22136776969692
37.0,193.0,0.15,-0.8,-62.309166466089884,-15.387219246370057,-14.951571276644053,-16.332867715590034,-18.797896414359524,-0.20186059928736838,-18.79867868307243,-56.24257104742063
37.0,701.0,0.0,0.0,-68.73685486900001,-22.6232830508093,-22.623283050809295,-22.62328305080931,-27.955674342962013,-0.03790782201797494,-32.63883067857805,-29.761293742645066
37.0,701.0,0.02,0.0,-66.73067875522402,-21.10300123726398,-19.29605225806972,-21.618213796712237,-22.07353696119624,-0.07048803486114662,-22.074458177906436,-58.808222602932425
37.0,701.0,0.15,0.0,-57.65121078215045,-9.708455935301417,-10.297060606465362,-13.261585752024246,-13.160825957097673,-0.5726751747050437,-13.201768982815663,-33.437325158317975
37.0,701.0,0.5,0.0,-50.30040570201269,-0.5737676709978308,-3.1937472311606916,-6.084259668255726,-6.0820200138321,-1.5054731505179377,-6.086163737953655,-36.288026489210395
37.0,701.0,0.15,0.5,-56.87009465498738,-8.408868386525223,-8.508703617311857,-11.078816386390464,-8.820703308967605,-0.8134890256953489,-8.820813145439917,-54.79113558076749
37.0,701.0,0.5,0.5,-49.40446121721834,-0.7493575334727742,-4.128919173641609,-4.520932950312636,-4.334995573060107,-1.9072548731216692,-4.335012294240721,-58.48017766701829
37.0,701.0,1.0,1.25,-38.02662605226958,7.09538747634678,0.5758950799497116,2.772754516518373,2.2784576907093896,-9.625313156777016,2.2776860696527286,-35.225730521754535
37.0,701.0,0.15,-0.8,-57.515279431358984,-8.992604744631285,-9.812066001492402,-12.941779890772093,-12.292284786952308,-0.5750962039839292,-12.292681683518055,-52.68355293596728
37.0,1501.0,0.0,0.0,-68.73685486900001,-22.6232830508093,-22.623283050809295,-22.62328305080931,-27.955674342962013,-0.03790782201797494,-32.63883067857805,-29.761293742645066
37.0,1501.0,0.02,0.0,-63.7022851680281,-17.861617855420235,-14.932611317740282,-17.70220652918531,-14.501651235571433,-0.17574275149765645,-14.504400910060916,-46.4880562687604
37.0,1501.0,0.15,0.0,-53.73649734706792,-5.42538048188859,-5.369088592251017,-9.603101784542705,-5.754014722884934,-1.6094990280061476,-5.756007271206584,-39.13876544845746
37.0,1501.0,0.5,0.0,-42.49023360639118,6.015332933758342,1.2726884202200919,0.7360529450589864,1.988696971182734,-8.543679970996145,1.9883961913643058,-39.60680960259158
37.0,1501.0,0.15,0.5,-53.198145845978004,-3.629943238837206,-6.279179456870673,-5.2036458312496485,-7.1076033898757665,-0.4583870198600337,-7.1450068296613845,-27.775019363694568
37.0,1501.0,0.5,0.5,-44.79482105999211,3.137227579618613,-1.5540478360027852,-0.157732465695985,-0.384325502618317,-4.155535128455376,-0.3854573412715718,-36.224889308868
37.0,1501.0,1.0,1.25,-37.564356681253884,6.687742382280886,1.8510850515252277,2.6055167422589025,3.3410743442285966,-6.76164433019493,3.339605915288997,-31.368973613227645
37.0,1501.0,0.15,-0.8,-53.70678433553405,-5.192133457229902,-5.567270420888582,-9.181186022024947,-5.968820638170439,-1.478707485558404,-5.969736074732143,-42.7308389237717
193.0,23.0,0.0,0.0,-61.478335227418846,-15.325758923755913,-15.325758923755915,-15.325758923755915,-20.48289265143264,-0.19859473322786947,-25.416078620278512,-22.165028957717507
193.0,23.0,0.02,0.0,-61.43974027144129,-15.325714662201015,-15.32510196189348,-15.325102081390556,-20.479385378193392,-0.19855351071276353,-25.415809858477985,-22.159990589977557
193.0,23.0,0.15,0.0,-61.29449883139357,-15.260580775086188,-15.293740578860168,-15.29375064307013,-20.544348388961453,-0.2017137065421425,-25.249611880304602,-22.33861489629655
193.0,23.0,0.5,0.0,-61.18961105184199,-14.953463332231806,-15.31931102616369,-15.319426812785249,-20.492350737882397,-0.20084362765020156,-24.932561774597236,-22.428731782153648
193.0,23.0,0.15,0.5,-57.24667900790506,-11.175704030564443,-9.167860957845141,-12.3182636794417,-11.176497934915176,-0.6048833011510157,-11.177743021834551,-46.60296687112315
193.0,23.0,0.5,0.5,-50.06849284256788,-2.259963143426305,-3.5698754014317147,-6.171081558224822,-4.96859269047339,-1.8305028570641295,-4.968596437498554,-65.60957158093542
193.0,23.0,1.0,1.25,-37.69834062989679,6.353928394265572,0.34861177893699946,2.7519000103624913,2.2618984443247987,-11.444189128449775,2.261690607040587,-40.938813998071
193.0,23.0,0.15,-0.8,-60.96515542789807,-14.390579807754618,-14.824207846850152,-15.188750012020861,-18.60445255571149,-0.25153044860565266,-18.617818496577684,-43.72898157138466
193.0,193.0,0.0,0.0,-61.478335227418846,-15.325758923755913,-15.325758923755915,-15.325758923755915,-20.48289265143264,-0.19859473322786947,-25.416078620278512,-22.165028957717507
193.0,193.0,0.02,0.0,-61.219866334571904,-16.09884943212303,-15.214932421831604,-15.098147589537824,-20.225509413004676,-0.20701065108762765,-25.153931636227895,-21.909900968622797
193.0,193.0,0.15,0.0,-59.45790003317918,-18.454257358173564,-13.788241665937104,-13.4689396509232,-18.463260301703205,-0.28337712460088893,-23.365129425073533,-20.160289679234555
193.0,193.0,0.5,0.0,-59.99726652017795,-14.82727489088738,-14.337964469485913,-14.111415728898454,-18.95300830490724,-0.31823027016480354,-23.730719312937083,-20.71067530784441
193.0,193.0,0.15,0.5,-57.24427342527427,-11.881451119965034,-9.795038060787702,-12.551111245110693,-12.015755746833888,-0.5544059656283078,-12.05043871518198,-33.00976620752885
193.0,193.0,0.5,0.5,-50.70825703477556,-2.7335556498252127,-3.940211994652328,-6.749255273879347,-5.9010613611049525,-1.732951472312732,-5.90227891348603,-41.42463669266679
193.0,193.0,1.0,1.25,-37.8975145881834,6.251373646723052,0.11341945616785679,2.3030092743863713,1.823744615204275,-9.130666987675339,1.7946789034307653,-19.934813622335927
193.0,193.0,0.15,-0.8,-59.89134455904977,-16.255251247367983,-13.300232773254761,-13.513369678447031,-18.407991307501344,-0.2929707476321708,-22.890302291226558,-20.320896523017055
193.0,701.0,0.0,0.0,-61.478335227418846,-15.325758923755913,-15.325758923755915,-15.325758923755915,-20.48289265143264,-0.19859473322786947,-25.416078620278512,-22.165028957717507
193.0,701.0,0.02,0.0,-61.33390221791588,-14.786160924893839,-15.236202640539574,-15.370732436583687,-20.219987838457556,-0.1983439923864206,-24.914737775083267,-22.019642562419254
193.0,701.0,0.15,0.0,-57.49647606486985,-13.095033795356601,-10.082454679033734,-12.532807368587825,-12.830947354466344,-0.5786346147283453,-12.865477535951499,-33.844055509465385
193.0,701.0,0.5,0.0,-50.8329997166219,-3.375593614599942,-3.5840803502478122,-6.438607273793417,-6.474085892241815,-1.970551361744344,-6.517995158533891,-26.448303338131907
193.0,701.0,0.15,0.5,-56.407143863581915,-10.321672601200596,-8.594161620369757,-10.534281337737513,-9.100319576773746,-0.7679947285327199,-9.101850343439228,-43.629838087580566
193.0,701.0,0.5,0.5,-49.37394896998133,-1.968186188259201,-3.940290957525769,-4.617175106129395,-4.19645040685876,-2.0867787281710903,-4.196507570679887,-53.00310958581684
193.0,701.0,1.0,1.25,-37.5792474206622,6.330139684823508,0.49299074464717063,2.81335198287656,2.1634910560666234,-8.807246369098639,2.1610771356155523,-30.388329419761302
193.0,701.0,0.15,-0.8,-57.326298183170465,-11.42695403022852,-9.66520509707117,-12.543675408679022,-12.241286107396546,-0.5792624636156901,-12.241486624283556,-55.59771994194422
193.0,1501.0,0.0,0.0,-61.478335227418846,-15.325758923755913,-15.325758923755915,-15.325758923755915,-20.48289265143264,-0.19859473322786947,-25.416078620278512,-22.165028957717507
193.0,1501.0,0.02,0.0,-61.377497289685216,-13.7981759189489,-13.17028902372872,-14.51065671263863,-18.21615691088509,-0.15735405422961246,-18.221870466158226,-47.02779215716025
193.0,1501.0,0.15,0.0,-53.56697246155022,-7.649221426201146,-5.58437083768254,-9.123955162995028,-5.692055542580633,-1.679433317621533,-5.696677222111287,-35.424211010305996
193.0,1501.0,0.5,0.0,-42.48389261094342,5.355321949795683,1.263879485513204,1.0058799073864486,2.052574312563747,-8.388507075349152,2.048227899978467,-27.946132329976212
193.0,1501.0,0.15,0.5,-53.714556963226485,-5.875152455821725,-6.1639416126870215,-5.915496695614331,-6.169807465607551,-0.9084992133827717,-6.170210455202708,-46.49491374008115
