shape,bin,baseline_ns,k6_ratio,k8_ratio,k12_ratio
0,37,4.896,0.975,0.966,0.976
0,601,4.706,1.021,1.106,1.076
0,4001,5.148,1.126,1.081,1.346
0,10001,5.119,1.306,2.212,2.953
0,25001,5.507,3.126,3.496,4.763
1,37,5.424,0.994,0.982,0.985
1,601,5.689,1.072,1.114,1.112
1,4001,6.546,1.337,1.487,1.820
1,10001,7.533,1.683,2.943,3.704
1,25001,12.460,3.679,3.551,5.348
2,37,5.831,0.900,1.011,0.930
2,601,5.588,1.088,1.116,1.188
2,4001,10.184,1.329,1.447,1.705
2,10001,11.847,1.604,2.644,3.400
2,25001,10.132,3.288,3.925,5.204
