shape,bin,baseline_ns,k6_ratio,k8_ratio,k12_ratio
0,37,4.902,0.963,0.964,0.968
0,601,4.899,1.014,1.020,1.036
0,4001,5.108,1.021,1.119,1.189
0,10001,5.286,1.151,2.137,2.717
0,25001,5.702,2.607,3.257,4.483
1,37,5.445,0.934,0.987,0.985
1,601,5.608,1.049,1.109,1.139
1,4001,6.240,1.318,1.545,1.784
1,10001,7.547,1.544,2.813,3.618
1,25001,9.779,2.962,3.727,4.951
2,37,5.610,0.973,0.964,1.007
2,601,5.835,1.010,1.090,1.142
2,4001,6.485,1.281,1.513,1.745
2,10001,7.555,1.504,2.937,3.631
2,25001,9.878,2.970,3.826,5.004
